Unnamed: 0,title,video_id,published_at,keyword,likes,comments,views,pctile_7d_views,pctile_30d_views,pctile_alltime_views,like_rate,comment_rate,age_days,views_per_day,cohort_month,sentiment_var,sentiment_entropy,comment_likes_var,n_comments,frac_neg,frac_neu,frac_pos,mean_comment_likes,sentiment_var_norm,comment_likes_var_norm,sentiment_entropy_norm,controversy_score,consistent_high_performer
423,How to Solve a Rubik&#39;s Cube | WIRED,R-R0KrXvWbc,2019-09-05,cubes,339759.0,32717.0,29905105.0,100.0,87.5,94.598190526876,0.011361237487713218,0.0010940272572191269,1084,27587.735239852398,2019-09,0.44000000000000006,1.1567796494427114,39645727.239999995,20,0.1,0.2,0.7,3234.6,0.44000000000000006,0.00046365915596466046,0.7298466991616058,0.3901034527725235,True
1298,"Going Through The Same Drive Thru 1,000 Times",QxGVgXf_LNk,2019-10-05,mrbeast,3557658.0,127113.0,160818375.0,100.0,100.0,98.93560404470463,0.022122210848107376,0.0007904134089154924,1054,152579.10341555977,2019-10,0.8100000000000002,1.2954618442339936,4749522966.61,10,0.3,0.1,0.6,31225.3,0.8100000000000002,0.05554595572436176,0.8173454221461777,0.5609637926235131,True
1300,"I Searched 100 Dumpsters, Here&#39;s What I Found",anFxsa5jXrE,2019-10-12,mrbeast,1572751.0,52457.0,91053784.0,100.0,87.5,97.65832889835019,0.017272769245921728,0.0005761100494187041,1047,86966.36485195797,2019-10,0.29,1.1567796494427114,1119953537.41,10,0.1,0.7,0.2,11802.7,0.29,0.013097923736690584,0.7298466991616058,0.34431487429943214,True
1464,"8 Year Old LOST His GIRLFRIEND To A Rich Kid, So We Confronted Her... (Fortnite)",c0Ir6O1JB-I,2019-11-19,physics,673896.0,41869.0,14835017.0,100.0,80.0,91.59127195316657,0.04542603490107224,0.002822308865571236,1009,14702.692765113974,2019-11,0.64,1.3709505944503406,2438174.4,10,0.2,0.2,0.6,985.0,0.64,2.8514595723144126e-05,0.8649735207176815,0.5016673451044683,True
555,If Google Was A Guy (Full Series),Cxqca4RQd_M,2019-11-26,google,1046404.0,37539.0,34484565.0,100.0,100.0,95.05055880787653,0.030344126422937334,0.001088573975052317,1002,34415.73353293413,2019-11,0.0,-1.4428232973175175e-12,259065202.69000006,10,0.0,0.0,1.0,8282.1,0.0,0.003029783070743316,0.0,0.001009927690247772,True
1301,"Last to Stop Swinging Wins $1,000,000 (Part 2)",RwnN2FVaHmw,2019-11-30,mrbeast,1511358.0,81100.0,69330547.0,100.0,100.0,97.12613092070251,0.021799308752028165,0.0011697585481331915,998,69469.48597194388,2019-11,0.16000000000000003,0.7219280948844771,215068976.16,10,0.0,0.2,0.8,9776.2,0.16000000000000003,0.0025152445648649754,0.4554859150035144,0.20600038652279315,True
1082,1 A.M Study Session 📚 - [lofi hip hop/chill beats],lTRiuFIWV54,2019-12-08,lofi,1638369.0,58851.0,84747957.0,100.0,100.0,97.49866950505589,0.01933225363768946,0.0006944238195618096,990,85603.99696969696,2019-12,0.09,0.46899559358639586,2863887431.84,10,0.0,0.1,0.9,21404.4,0.09,0.03349333514268343,0.29590327428901314,0.13979886981056552,True
1150,Animals ¥GLMV¥ /Gacha Life/,AGulIdSQCsY,2020-02-04,animals,94089.0,1537.0,5434925.0,100.0,100.0,82.27780734433209,0.017311922427632395,0.0002828005906245256,932,5831.464592274678,2020-02,0.09,0.46899559358639586,322.64,10,0.0,0.1,0.9,18.6,0.09,3.773294135200182e-09,0.29590327428901314,0.1286344260207691,True
437,How to solve a Rubik’s cube | The Easiest tutorial | Part 1,E7-0GYMCwyQ,2020-02-08,cubes,129552.0,4612.0,13278916.0,100.0,100.0,90.79297498669506,0.009756218052738642,0.0003473175069410786,928,14309.176724137931,2020-02,0.0,-1.4428232973175175e-12,2181.9600000000005,10,0.0,0.0,1.0,30.2,0.0,2.5518152960703537e-08,0.0,8.50605098690118e-09,True
422,This Kid Solves RUBIK&#39;S CUBE In 5 Seconds..,cq1rdB4Nu4o,2020-02-17,cubes,233724.0,8895.0,10608521.0,100.0,80.0,89.14316125598722,0.022031723366527717,0.0008384769186958295,919,11543.54842219804,2020-02,0.49000000000000005,1.4854752972230063,162838.05,10,0.3,0.5,0.2,155.5,0.49000000000000005,1.9044007533239334e-06,0.9372305632160154,0.4757441558722562,True
1320,"I Ate A $70,000 Golden Pizza",F4Y3Pkn95GI,2020-02-29,mrbeast,3206546.0,108235.0,156000008.0,100.0,100.0,98.88238424693986,0.020554780997190717,0.000693814066983894,907,171995.59867695702,2020-02,0.8,1.5219280948830345,2409179302.4,10,0.4,0.2,0.4,19263.0,0.8,0.0281754963190912,0.960229717860689,0.59613507139326,True
443,Solving the huge Rubik&#39;s Cube 15X15 in record time,6MWTTiNhu7I,2020-03-13,cubes,636440.0,16875.0,39581966.0,100.0,84.61538461538461,95.63597658328898,0.016079039631331095,0.0004263305162760233,894,44275.12975391499,2020-03,0.56,1.5219280948830345,821123.8,10,0.2,0.4,0.4,360.0,0.56,9.603092049384102e-06,0.960229717860689,0.5067464403175794,True
